ID	Requirement	Cost (person hours)
j.1	fail safe	
j.1.1	failure does not restrict access	223
j.1.2	safe in case of power failure	19
j.2	conform to standards and legislations	
j.2.1	technical architecture standards	47
j.2.2	management system standards	27
j.2.3	security standards	27
j.2.4	health and safety legislations	52
j.3	technology	
j.3.1	no change to existing technology approach	11
j.3.2	smart card technology	81
j.3.3	not constrained by card solution	15
j.3.4	card printers technology	58
j.4	lifecycle	
j.4.1	5 years	26
j.5	reliable	
j.5.1	antivirus	20
j.5.2	reliable such that people can open doors	373
j.5.3	software interface	254
j.5.4	continue operation	262
j.5.5	secure network	16
j.6	available	
j.6.1	server software run in a virtual machine environme	23
j.6.2	working without interruption for 100 days	316
j.6.3	data backup	342
j.6.4	switch to standby system in the event of a hardware fail	46
j.7	network infrastructure	
j.7.1	cabling	66
j.7.2	landswitch	66
j.8	be capable of having direct printing to both sides of the card, which will include the library barcode	119
j.9	the chosen manufacturer must have a proven tracker record within Institutions with Access Control, ID Pass Production, ODBC, Smart Card technologies.	184
j.10	photo ID Pass Software must be an embedded feature of the Access control Software and only require software/licence upgrades.	161
j.11	The system manufacturer MUST be a Microsoft™ Certified Partner.	27
j.12	the system MUST utilise Microsoft™ Windows 2000 and/or XP Operating System.	31
j.13	the Database platform MUST support Microsoft™ SQL Server and/or Oracle Server.	27
		
